Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1980,0.3,0.4,0.3,0.3,0.35,0.21,0.22,0.19,0.21,0.13,0.3,0.22
1981,0.53,0.43,0.48,0.32,0.25,0.29,0.32,0.35,0.15,0.12,0.23,0.41
1982,0.05,0.16,0.03,0.15,0.18,0.06,0.14,0.04,0.14,0.13,0.18,0.42
1983,0.53,0.43,0.42,0.28,0.34,0.23,0.18,0.35,0.37,0.17,0.3,0.17
1984,0.31,0.14,0.26,0.06,0.33,0.02,0.19,0.2,0.21,0.14,0.07,-0.04
1985,0.22,-0.04,0.18,0.12,0.15,0.15,0.04,0.17,0.13,0.12,0.05,0.14
1986,0.26,0.37,0.3,0.22,0.21,0.12,0.11,0.16,0.03,0.16,0.1,0.13
1987,0.32,0.43,0.18,0.25,0.26,0.35,0.41,0.25,0.35,0.33,0.29,0.46
1988,0.57,0.45,0.52,0.43,0.44,0.4,0.33,0.39,0.37,0.38,0.12,0.29
1989,0.12,0.3,0.36,0.29,0.17,0.17,0.34,0.33,0.35,0.29,0.19,0.37
1990,0.42,0.44,0.8,0.56,0.46,0.38,0.46,0.34,0.23,0.45,0.47,0.41
1991,0.43,0.5,0.35,0.51,0.34,0.53,0.48,0.39,0.44,0.29,0.3,0.32
1992,0.47,0.4,0.48,0.27,0.31,0.26,0.09,0.08,-0.01,0.06,0.03,0.21
1993,0.35,0.37,0.36,0.28,0.28,0.23,0.25,0.11,0.12,0.23,0.04,0.18
1994,0.26,0.03,0.29,0.42,0.28,0.44,0.3,0.22,0.32,0.42,0.44,0.38
1995,0.52,0.79,0.47,0.46,0.27,0.44,0.45,0.45,0.34,0.48,0.44,0.25
1996,0.24,0.46,0.33,0.32,0.28,0.26,0.37,0.48,0.25,0.2,0.39,0.37
1997,0.3,0.41,0.52,0.34,0.34,0.54,0.34,0.42,0.52,0.61,0.64,0.59
1998,0.58,0.88,0.63,0.63,0.68,0.77,0.66,0.66,0.42,0.42,0.43,0.55
1999,0.49,0.64,0.32,0.32,0.27,0.36,0.38,0.32,0.39,0.35,0.37,0.41
2000,0.25,0.56,0.56,0.56,0.36,0.4,0.39,0.42,0.39,0.28,0.31,0.28
2001,0.46,0.44,0.56,0.51,0.58,0.52,0.59,0.5,0.52,0.51,0.73,0.56
2002,0.77,0.79,0.88,0.58,0.63,0.53,0.61,0.54,0.63,0.54,0.59,0.44
2003,0.75,0.58,0.6,0.55,0.61,0.48,0.59,0.65,0.62,0.74,0.53,0.75
2004,0.59,0.73,0.64,0.61,0.38,0.44,0.27,0.47,0.5,0.61,0.73,0.51
2005,0.75,0.6,0.75,0.68,0.63,0.65,0.62,0.62,0.71,0.75,0.74,0.68
2006,0.56,0.73,0.63,0.49,0.5,0.66,0.55,0.71,0.65,0.7,0.74,0.79
2007,1.03,0.7,0.73,0.77,0.69,0.62,0.61,0.6,0.6,0.59,0.59,0.5
2008,0.31,0.38,0.75,0.54,0.49,0.5,0.6,0.48,0.61,0.66,0.69,0.54
2009,0.65,0.53,0.54,0.61,0.65,0.65,0.75,0.68,0.73,0.65,0.82,0.68
2010,0.75,0.84,0.92,0.84,0.75,0.68,0.63,0.68,0.64,0.71,0.82,0.45
2011,0.52,0.48,0.65,0.65,0.53,0.62,0.71,0.75,0.57,0.66,0.58,0.6
2012,0.49,0.5,0.58,0.72,0.79,0.65,0.58,0.64,0.72,0.79,0.79,0.53
2013,0.71,0.63,0.68,0.55,0.61,0.69,0.61,0.71,0.78,0.69,0.84,0.7
2014,0.76,0.55,0.79,0.8,0.87,0.68,0.58,0.82,0.88,0.81,0.66,0.79
2015,0.85,0.9,0.96,0.75,0.8,0.81,0.74,0.81,0.86,1.09,1.06,1.15
2016,1.17,1.37,1.35,1.12,0.96,0.81,0.85,1.02,0.91,0.88,0.91,0.86
2017,1.03,1.15,1.17,0.95,0.91,0.73,0.82,0.87,0.78,0.91,0.88,0.94
2018,0.82,0.86,0.9,0.89,0.83,0.78,0.83,0.77,0.81,1.02,0.83,0.92
2019,0.93,0.96,1.18,1.02,0.86,0.93,0.95,0.95,0.93,1.02,1,1.1
2020,1.17,1.25,1.18,1.13,1.02,0.93,0.9,0.87,1,***,***,***
