period,temp
1970-01-01,0.08
1970-02-01,0.22
1970-03-01,0.06
1970-04-01,0.05
1970-05-01,-0.04
1970-06-01,-0.03
1970-07-01,0.01
1970-08-01,-0.1
1970-09-01,0.12
1970-10-01,0.03
1970-11-01,0.02
1970-12-01,-0.12
1971-01-01,-0.02
1971-02-01,-0.16
1971-03-01,-0.18
1971-04-01,-0.07
1971-05-01,-0.05
1971-06-01,-0.17
1971-07-01,-0.08
1971-08-01,-0.01
1971-09-01,-0.06
1971-10-01,-0.04
1971-11-01,-0.07
1971-12-01,-0.09
1972-01-01,-0.22
1972-02-01,-0.18
1972-03-01,0.02
1972-04-01,0
1972-05-01,-0.03
1972-06-01,0.04
1972-07-01,0.01
1972-08-01,0.16
1972-09-01,0.02
1972-10-01,0.08
1972-11-01,0.02
1972-12-01,0.18
1973-01-01,0.29
1973-02-01,0.33
1973-03-01,0.29
1973-04-01,0.27
1973-05-01,0.22
1973-06-01,0.19
1973-07-01,0.13
1973-08-01,0.05
1973-09-01,0.09
1973-10-01,0.1
1973-11-01,0.05
1973-12-01,-0.07
1974-01-01,-0.1
1974-02-01,-0.27
1974-03-01,-0.05
1974-04-01,-0.11
1974-05-01,-0.04
1974-06-01,-0.05
1974-07-01,-0.03
1974-08-01,0.11
1974-09-01,-0.08
1974-10-01,-0.05
1974-11-01,-0.07
1974-12-01,-0.08
1975-01-01,0.1
1975-02-01,0.08
1975-03-01,0.12
1975-04-01,0.04
1975-05-01,0.16
1975-06-01,-0.01
1975-07-01,-0.01
1975-08-01,-0.17
1975-09-01,-0.03
1975-10-01,-0.11
1975-11-01,-0.17
1975-12-01,-0.17
1976-01-01,-0.03
1976-02-01,-0.06
1976-03-01,-0.21
1976-04-01,-0.07
1976-05-01,-0.2
1976-06-01,-0.12
1976-07-01,-0.1
1976-08-01,-0.12
1976-09-01,-0.06
1976-10-01,-0.24
1976-11-01,-0.05
1976-12-01,0.11
1977-01-01,0.18
1977-02-01,0.23
1977-03-01,0.25
1977-04-01,0.26
1977-05-01,0.33
1977-06-01,0.27
1977-07-01,0.2
1977-08-01,0.18
1977-09-01,0.02
1977-10-01,0.03
1977-11-01,0.16
1977-12-01,0.03
1978-01-01,0.06
1978-02-01,0.1
1978-03-01,0.19
1978-04-01,0.17
1978-05-01,0.09
1978-06-01,-0.01
1978-07-01,0.04
1978-08-01,-0.13
1978-09-01,0.06
1978-10-01,0.03
1978-11-01,0.14
1978-12-01,0.08
1979-01-01,0.08
1979-02-01,-0.1
1979-03-01,0.19
1979-04-01,0.15
1979-05-01,0.04
1979-06-01,0.14
1979-07-01,0.04
1979-08-01,0.17
1979-09-01,0.25
1979-10-01,0.26
1979-11-01,0.29
1979-12-01,0.48
1980-01-01,0.3
1980-02-01,0.4
1980-03-01,0.3
1980-04-01,0.3
1980-05-01,0.35
1980-06-01,0.21
1980-07-01,0.22
1980-08-01,0.19
1980-09-01,0.21
1980-10-01,0.13
1980-11-01,0.3
1980-12-01,0.22
1981-01-01,0.53
1981-02-01,0.43
1981-03-01,0.48
1981-04-01,0.32
1981-05-01,0.25
1981-06-01,0.29
1981-07-01,0.32
1981-08-01,0.35
1981-09-01,0.15
1981-10-01,0.12
1981-11-01,0.23
1981-12-01,0.41
1982-01-01,0.05
1982-02-01,0.16
1982-03-01,0.03
1982-04-01,0.15
1982-05-01,0.18
1982-06-01,0.06
1982-07-01,0.14
1982-08-01,0.04
1982-09-01,0.14
1982-10-01,0.13
1982-11-01,0.18
1982-12-01,0.42
1983-01-01,0.53
1983-02-01,0.43
1983-03-01,0.42
1983-04-01,0.28
1983-05-01,0.34
1983-06-01,0.23
1983-07-01,0.18
1983-08-01,0.35
1983-09-01,0.37
1983-10-01,0.17
1983-11-01,0.3
1983-12-01,0.17
1984-01-01,0.31
1984-02-01,0.14
1984-03-01,0.26
1984-04-01,0.06
1984-05-01,0.33
1984-06-01,0.02
1984-07-01,0.19
1984-08-01,0.2
1984-09-01,0.21
1984-10-01,0.14
1984-11-01,0.07
1984-12-01,-0.04
1985-01-01,0.22
1985-02-01,-0.04
1985-03-01,0.18
1985-04-01,0.12
1985-05-01,0.15
1985-06-01,0.15
1985-07-01,0.04
1985-08-01,0.17
1985-09-01,0.13
1985-10-01,0.12
1985-11-01,0.05
1985-12-01,0.14
1986-01-01,0.26
1986-02-01,0.37
1986-03-01,0.3
1986-04-01,0.22
1986-05-01,0.21
1986-06-01,0.12
1986-07-01,0.11
1986-08-01,0.16
1986-09-01,0.03
1986-10-01,0.16
1986-11-01,0.1
1986-12-01,0.13
1987-01-01,0.32
1987-02-01,0.43
1987-03-01,0.18
1987-04-01,0.25
1987-05-01,0.26
1987-06-01,0.35
1987-07-01,0.41
1987-08-01,0.25
1987-09-01,0.35
1987-10-01,0.33
1987-11-01,0.29
1987-12-01,0.46
1988-01-01,0.57
1988-02-01,0.45
1988-03-01,0.52
1988-04-01,0.43
1988-05-01,0.44
1988-06-01,0.4
1988-07-01,0.33
1988-08-01,0.39
1988-09-01,0.37
1988-10-01,0.38
1988-11-01,0.12
1988-12-01,0.29
1989-01-01,0.12
1989-02-01,0.3
1989-03-01,0.36
1989-04-01,0.29
1989-05-01,0.17
1989-06-01,0.17
1989-07-01,0.34
1989-08-01,0.33
1989-09-01,0.35
1989-10-01,0.29
1989-11-01,0.19
1989-12-01,0.37
1990-01-01,0.42
1990-02-01,0.44
1990-03-01,0.8
1990-04-01,0.56
1990-05-01,0.46
1990-06-01,0.38
1990-07-01,0.46
1990-08-01,0.34
1990-09-01,0.23
1990-10-01,0.45
1990-11-01,0.47
1990-12-01,0.41
1991-01-01,0.43
1991-02-01,0.5
1991-03-01,0.35
1991-04-01,0.51
1991-05-01,0.34
1991-06-01,0.53
1991-07-01,0.48
1991-08-01,0.39
1991-09-01,0.44
1991-10-01,0.29
1991-11-01,0.3
1991-12-01,0.32
1992-01-01,0.47
1992-02-01,0.4
1992-03-01,0.48
1992-04-01,0.27
1992-05-01,0.31
1992-06-01,0.26
1992-07-01,0.09
1992-08-01,0.08
1992-09-01,-0.01
1992-10-01,0.06
1992-11-01,0.03
1992-12-01,0.21
1993-01-01,0.35
1993-02-01,0.37
1993-03-01,0.36
1993-04-01,0.28
1993-05-01,0.28
1993-06-01,0.23
1993-07-01,0.25
1993-08-01,0.11
1993-09-01,0.12
1993-10-01,0.23
1993-11-01,0.04
1993-12-01,0.18
1994-01-01,0.26
