VAR,Variable,UNIT,Measure,COU,Country,YEA,Year,Value,Flag Codes,Flags
MATIMATM,Maternal mortality,TXCMMMTX,Deaths per 100 000 live births,AUS,Australia,1980,1980,9.8,,
MATIMATM,Maternal mortality,TXCMMMTX,Deaths per 100 000 live births,AUS,Australia,1981,1981,10.6,,
MATIMATM,Maternal mortality,TXCMMMTX,Deaths per 100 000 live births,AUS,Australia,1982,1982,10.4,,
MATIMATM,Maternal mortality,TXCMMMTX,Deaths per 100 000 live births,AUS,Australia,1983,1983,6.2,,
MATIMATM,Maternal mortality,TXCMMMTX,Deaths per 100 000 live births,AUS,Australia,1984,1984,7.7,,
MATIMATM,Maternal mortality,TXCMMMTX,Deaths per 100 000 live births,AUS,Australia,1985,1985,4.4,,
MATIMATM,Maternal mortality,TXCMMMTX,Deaths per 100 000 live births,AUS,Australia,1986,1986,6.2,,
MATIMATM,Maternal mortality,TXCMMMTX,Deaths per 100 000 live births,AUS,Australia,1987,1987,5.3,,
MATIMATM,Maternal mortality,TXCMMMTX,Deaths per 100 000 live births,AUS,Australia,1988,1988,4.9,,
MATIMATM,Maternal mortality,TXCMMMTX,Deaths per 100 000 live births,AUS,Australia,1989,1989,5.2,,
MATIMATM,Maternal mortality,TXCMMMTX,Deaths per 100 000 live births,AUS,Australia,1990,1990,6.1,,
MATIMATM,Maternal mortality,TXCMMMTX,Deaths per 100 000 live births,AUS,Australia,1991,1991,5.1,,
MATIMATM,Maternal mortality,TXCMMMTX,Deaths per 100 000 live births,AUS,Australia,1992,1992,3.4,,
MATIMATM,Maternal mortality,TXCMMMTX,Deaths per 100 000 live births,AUS,Australia,1993,1993,5.8,,
MATIMATM,Maternal mortality,TXCMMMTX,Deaths per 100 000 live births,AUS,Australia,1994,1994,6.2,,
MATIMATM,Maternal mortality,TXCMMMTX,Deaths per 100 000 live births,AUS,Australia,1995,1995,9.4,,
MATIMATM,Maternal mortality,TXCMMMTX,Deaths per 100 000 live births,AUS,Australia,1996,1996,4.7,,
MATIMATM,Maternal mortality,TXCMMMTX,Deaths per 100 000 live births,AUS,Australia,1997,1997,4.4,,
MATIMATM,Maternal mortality,TXCMMMTX,Deaths per 100 000 live births,AUS,Australia,1998,1998,2.8,,
MATIMATM,Maternal mortality,TXCMMMTX,Deaths per 100 000 live births,AUS,Australia,1999,1999,4.4,,
MATIMATM,Maternal mortality,TXCMMMTX,Deaths per 100 000 live births,AUS,Australia,2000,2000,6,,
MATIMATM,Maternal mortality,TXCMMMTX,Deaths per 100 000 live births,AUS,Australia,2001,2001,4.9,,
MATIMATM,Maternal mortality,TXCMMMTX,Deaths per 100 000 live births,AUS,Australia,2002,2002,4.8,,
MATIMATM,Maternal mortality,TXCMMMTX,Deaths per 100 000 live births,AUS,Australia,2003,2003,3.2,,
MATIMATM,Maternal mortality,TXCMMMTX,Deaths per 100 000 live births,AUS,Australia,2004,2004,4.3,,
MATIMATM,Maternal mortality,TXCMMMTX,Deaths per 100 000 live births,AUS,Australia,2005,2005,3.4,,
MATIMATM,Maternal mortality,TXCMMMTX,Deaths per 100 000 live births,AUS,Australia,2006,2006,4.1,,
MATIMATM,Maternal mortality,TXCMMMTX,Deaths per 100 000 live births,AUS,Australia,2007,2007,2.1,,
MATIMATM,Maternal mortality,TXCMMMTX,Deaths per 100 000 live births,AUS,Australia,2008,2008,2,,
MATIMATM,Maternal mortality,TXCMMMTX,Deaths per 100 000 live births,AUS,Australia,2009,2009,3,,
MATIMATM,Maternal mortality,TXCMMMTX,Deaths per 100 000 live births,AUS,Australia,2010,2010,4.3,,
MATIMATM,Maternal mortality,TXCMMMTX,Deaths per 100 000 live births,AUS,Australia,2011,2011,4.3,,
MATIMATM,Maternal mortality,TXCMMMTX,Deaths per 100 000 live births,AUS,Australia,2012,2012,5.2,,
MATIMATM,Maternal mortality,TXCMMMTX,Deaths per 100 000 live births,AUS,Australia,2013,2013,1.9,,
MATIMATM,Maternal mortality,TXCMMMTX,Deaths per 100 000 live births,AUS,Australia,2014,2014,4,,
MATIMATM,Maternal mortality,TXCMMMTX,Deaths per 100 000 live births,AUS,Australia,2015,2015,2.6,,
MATIMATM,Maternal mortality,TXCMMMTX,Deaths per 100 000 live births,AUS,Australia,2016,2016,3.9,,
MATIMATM,Maternal mortality,TXCMMMTX,Deaths per 100 000 live births,AUS,Australia,2017,2017,1.6,,
MATIMATM,Maternal mortality,TXCMMMTX,Deaths per 100 000 live births,AUS,Australia,2018,2018,4.8,,
MATIMATM,Maternal mortality,TXCMMMTX,Deaths per 100 000 live births,AUT,Austria,1980,1980,7.7,,
MATIMATM,Maternal mortality,TXCMMMTX,Deaths per 100 000 live births,AUT,Austria,1981,1981,13.8,,
MATIMATM,Maternal mortality,TXCMMMTX,Deaths per 100 000 live births,AUT,Austria,1982,1982,16.9,,
MATIMATM,Maternal mortality,TXCMMMTX,Deaths per 100 000 live births,AUT,Austria,1983,1983,11.1,,
MATIMATM,Maternal mortality,TXCMMMTX,Deaths per 100 000 live births,AUT,Austria,1984,1984,4.5,,
MATIMATM,Maternal mortality,TXCMMMTX,Deaths per 100 000 live births,AUT,Austria,1985,1985,6.9,,
MATIMATM,Maternal mortality,TXCMMMTX,Deaths per 100 000 live births,AUT,Austria,1986,1986,6.9,,
MATIMATM,Maternal mortality,TXCMMMTX,Deaths per 100 000 live births,AUT,Austria,1987,1987,4.6,,
MATIMATM,Maternal mortality,TXCMMMTX,Deaths per 100 000 live births,AUT,Austria,1988,1988,5.7,,
MATIMATM,Maternal mortality,TXCMMMTX,Deaths per 100 000 live births,AUT,Austria,1989,1989,7.9,,
MATIMATM,Maternal mortality,TXCMMMTX,Deaths per 100 000 live births,AUT,Austria,1990,1990,6.6,,
MATIMATM,Maternal mortality,TXCMMMTX,Deaths per 100 000 live births,AUT,Austria,1991,1991,7.4,,
MATIMATM,Maternal mortality,TXCMMMTX,Deaths per 100 000 live births,AUT,Austria,1992,1992,4.2,,
MATIMATM,Maternal mortality,TXCMMMTX,Deaths per 100 000 live births,AUT,Austria,1993,1993,4.2,,
MATIMATM,Maternal mortality,TXCMMMTX,Deaths per 100 000 live births,AUT,Austria,1994,1994,8.7,,
MATIMATM,Maternal mortality,TXCMMMTX,Deaths per 100 000 live births,AUT,Austria,1995,1995,1.1,,
MATIMATM,Maternal mortality,TXCMMMTX,Deaths per 100 000 live births,AUT,Austria,1996,1996,4.5,,
MATIMATM,Maternal mortality,TXCMMMTX,Deaths per 100 000 live births,AUT,Austria,1997,1997,2.4,,
MATIMATM,Maternal mortality,TXCMMMTX,Deaths per 100 000 live births,AUT,Austria,1998,1998,4.9,,
MATIMATM,Maternal mortality,TXCMMMTX,Deaths per 100 000 live births,AUT,Austria,1999,1999,1.3,,
MATIMATM,Maternal mortality,TXCMMMTX,Deaths per 100 000 live births,AUT,Austria,2000,2000,2.6,,
