cou,country,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,change
AUS,Australia,6.4510000000000005,6.3469999999999995,6.332000000000001,6.1240000000000006,6.085000000000001,5.835,5.905,5.864,5.758,5.5760000000000005,5.384,5.2669999999999995,5.2059999999999995,5.06,4.904999999999999,4.73,4.662,4.718,4.694,4.615,4.507,4.605,4.32,4.119,4.003,3.942,3.7039999999999997,3.7700000000000005,2.681
AUT,Austria,10.317,10.341999999999999,10.151,10.025,9.767,9.745999999999999,9.780000000000001,9.579,9.57,9.49,9.346,9.101,9.037,8.984,8.788,8.717,8.504999999999999,8.533999999999999,8.43,8.617,8.49,8.494,8.07,7.9479999999999995,7.677,7.712,7.302,7.214,3.1029999999999998
BEL,Belgium,12.311,12.012,11.811,11.648,11.446,11.34,11.136,11.091999999999999,11.04,10.998000000000001,10.886,10.707,10.690000000000001,10.539,10.185,10.05,9.734,9.790000000000001,9.858,9.780000000000001,9.627,9.5,9.196,8.861,8.338999999999999,8.496,8.105,8.107,4.204000000000001
AFG,Afghanistan,16.908,15.940999999999999,15.399000000000001,16.848,17.729,17.44,17.047,16.788,16.039,15.494,14.206,13.382,12.629000000000001,13.85,13.443999999999999,12.937000000000001,12.458,11.904,11.202000000000002,10.73,10.457,10.539,10.179,9.823,9.443999999999999,9.674,9.025,9.214,7.694000000000001
ALB,Albania,6.853,7.189,7.034000000000001,6.837,6.558,6.303,6.151,5.96,5.789,5.741,5.452,5.2170000000000005,5.241,5.311,5.396,5.422,5.477,5.447,5.683,5.785,5.921,6.411,6.178,6.25,6.258,6.569,6.414,6.554,0.2989999999999995
DZA,Algeria,11.036999999999999,10.788,10.532,10.259,9.991,9.719,9.687999999999999,9.687999999999999,9.581,9.568,9.446,9.451,9.401,9.313,9.212,9.053,9.099,9.100999999999999,9.032,8.940999999999999,8.818,8.887,8.838000000000001,8.961,9.092,9.155999999999999,9.342,9.292000000000002,1.7449999999999974
ASM,American Samoa,4.867,5.004,5.125,5.282,5.42,5.532,5.772,6.161,6.593999999999999,7.011,7.208,7.312,7.473000000000001,7.645999999999999,7.808,7.981,8.158000000000001,8.43,8.686,9.009,9.251,9.654,9.459999999999999,9.491,9.328,9.469,9.39,9.639,-4.771999999999999
AND,Andorra,6.003,6.06,6.140000000000001,6.294,6.197,6.079000000000001,6.04,6.0169999999999995,5.975,5.894,5.8260000000000005,5.759,5.668,5.665,5.635000000000001,5.484999999999999,5.463,5.517,5.593,5.68,5.754,5.397,5.1530000000000005,5.205,5.165,5.563,5.374,5.6370000000000005,0.36599999999999966
AGO,Angola,9.801,9.922,9.928,9.838999999999999,9.947,9.817,9.870000000000001,9.959,10.161999999999999,10.174,10.022,9.966000000000001,9.719999999999999,9.56,9.58,9.286,9.082,8.879000000000001,8.452,8.008000000000001,7.68,7.215,7.056,6.890000000000001,6.308999999999999,6.145,5.802,5.648,4.1530000000000005
ATG,Antigua and Barbuda,7.93,8.003,8.120000000000001,8.205,8.229000000000001,8.288,8.297,8.291,8.158,8.046,7.9,7.971,7.974,8.039,8.048,8.052,8.083,8.053,8.065,8.057,8.085,8.222999999999999,8.032,7.976999999999999,7.901,7.9399999999999995,7.849,7.962,-0.03200000000000003
ARG,Argentina,7.747999999999999,7.688000000000001,7.9190000000000005,7.827,7.689,7.643000000000001,7.969,8.135,8.301,8.383,7.984999999999999,8.183,8.441,8.530999999999999,8.234,8.04,8.251000000000001,8.64,8.52,8.585,8.448,8.690999999999999,8.349,8.191,7.7829999999999995,7.853,7.619,7.561,0.1869999999999994
ARM,Armenia,12.647,12.916,13.469999999999999,13.748,13.690000000000001,13.350999999999999,13.383,13.222000000000001,13.126999999999999,13.367,13.554,14.007,14.518999999999998,15.033,15.369,15.937000000000001,16.554000000000002,16.868000000000002,17.528,17.88,18.061,18.141000000000002,17.588,16.709,16.222,16.829,16.310000000000002,16.517,-3.869999999999999
AZE,Azerbaijan,19.472,19.786,19.974,19.641,19.268,18.121000000000002,17.611,16.943,16.323999999999998,15.672999999999998,14.834,14.353000000000002,14.389,14.553,14.672,14.84,15.14,15.146,15.364,15.437,15.503,15.901,15.420000000000002,15.375,14.639,15.025,14.565,14.475999999999999,4.996000000000002
BHS,Bahamas,7.313000000000001,7.365,7.418,7.52,7.634,7.702999999999999,7.979,7.925,7.9830000000000005,8.116,7.928000000000001,8.08,7.944,7.889,7.875,7.79,8.02,8.025,8.123,8.238,8.201,8.384,8.112,8.08,8.005,8.248000000000001,8.094,8.164,-0.8509999999999991
BHR,Bahrain,12.843,12.843,12.908000000000001,12.841000000000001,12.767,12.77,12.620000000000001,12.539000000000001,12.32,11.798,11.183,10.729,10.235,9.972,9.7,9.25,8.773,8.437000000000001,8.146,7.994999999999999,8.104,8.275,8.722,8.985,9.174,9.742,9.870000000000001,9.968,2.875
BGD,Bangladesh,13.632000000000001,13.469000000000001,13.028,12.633,12.247,11.879999999999999,11.668,11.479,11.221,11.105,11.036999999999999,10.949000000000002,10.915,10.958,10.803,10.671,10.563,10.574,10.458,10.280999999999999,10.119,9.870000000000001,9.761,9.126,9.437000000000001,9.271,8.7,8.838,4.794000000000002
BLR,Belarus,18.118000000000002,18.759,19.578,21.453,21.789,22.725,22.789,23.273,24.042,24.858,23.747,25.201,26.668999999999997,25.973,25.612000000000002,26.144000000000002,25.311,24.070999999999998,24.096,24.233,24.441,24.47,21.186,20.35,19.503,18.77,18.107,18.269,-0.15099999999999625
BEN,Benin,8.368,8.08,7.812,7.492,7.348,7.048,6.8919999999999995,6.7940000000000005,6.758,6.7059999999999995,6.538,6.372,6.263,5.879,5.567,5.241,5.122,5.04,4.886,4.8309999999999995,4.7620000000000005,4.789,4.9030000000000005,4.815,4.502,5.675000000000001,5.297000000000001,5.116,3.2520000000000007
BMU,Bermuda,8.202,7.893,7.814,7.795999999999999,7.587,7.321,7.49,7.5009999999999994,7.666,7.785,7.771,7.606999999999999,7.554,7.563000000000001,7.566,7.545999999999999,7.584999999999999,7.5889999999999995,7.606999999999999,7.634,7.651,7.818,7.773999999999999,7.782,7.697,7.6899999999999995,7.589,7.765,0.4370000000000003
BRA,Brazil,5.773,5.645,5.705,5.848000000000001,5.867,5.843,5.8629999999999995,5.845000000000001,5.8870000000000005,5.906000000000001,5.8149999999999995,5.8,5.789,5.815,5.8100000000000005,5.696,5.806,5.911,6.024,6.148,6.239,6.365,6.228,6.157,6.029,6,5.9079999999999995,6.116,-0.34299999999999997
COG,Republic of Congo,9.477,9.426,9.339,9.387,9.582,9.685,10.103,10.32,10.295,10.225,9.84,9.484,9.186,8.991,8.734,8.604,8.511,8.395,8.239,7.952,7.621,7.711,7.5649999999999995,7.801,7.775,7.601,7.678999999999999,7.872,1.6050000000000004
