COU,Country,decade,avginfmort,avmatmort,avginfmort_std,avmatmort_std,clust
AUS,Australia,1980,9.39,7.07,-0.42468404205920796,-0.3643624216533109,3
AUT,Austria,1980,11.07,8.6,-0.1882891973594459,-0.2844361698973446,3
BEL,Belgium,1980,9.066666666666666,4.166666666666666,-0.4701806689161067,-0.5160307555954605,3
CAN,Canada,1980,8.32,4.43,-0.5752450443382231,-0.5022743854675273,3
CHE,Switzerland,1980,7.37,6.04,-0.7089207005672553,-0.41816898329294844,3
CHL,Chile,1980,21.89,45.6,1.3342061714806885,1.6484208987109916,1
CZE,Czech Republic,1980,13.37,19,0.13534660193189493,0.25885338452229584,1
DEU,Germany,1980,9.57,12.21,-0.3993560229842335,-0.09585200725745012,3
ESP,Spain,1980,9.97,6.65,-0.34307153615095676,-0.38630296135102715,3
EST,Estonia,1980,15.44,30.95,0.42661882129410184,0.8831139783025558,1
FIN,Finland,1980,6.32,4.76,-0.8566674785046066,-0.4850353899907503,3
FRA,France,1980,8.6,12.18,-0.5358459035549296,-0.0974191886644299,3
GBR,United Kingdom,1980,9.95,8.1,-0.34588576049262076,-0.31055586001367347,3
GRC,Greece,1980,13.69,9.290000000000001,0.18037419139851632,-0.2483909975368107,3
HUN,Hungary,1980,19.16,18.29,0.9500645488435752,0.22176342455710882,1
IRL,Ireland,1980,9.42,5.51,-0.4204627055467123,-0.445855854816257,3
ISL,Iceland,1980,6.31,2.3899999999999997,-0.8580745906754386,-0.6088427211421491,3
ISR,Israel,1980,12.65,4.66,0.03403452563199704,-0.49025932801401606,3
ITA,Italy,1980,11.39,8.34,-0.1432616078928245,-0.2980184087578356,3
JPN,Japan,1980,5.85,15.06,-0.9228017505337068,0.053030226405624416,3
LTU,Lithuania,1980,12.08,23.8,-0.046170868105422286,0.509602409639053,1
LUX,Luxembourg,1980,10.5,2.3600000000000003,-0.26849459109686524,-0.6104099025491289,3
MEX,Mexico,1980,43.49,106.88,4.373568460477631,4.849650119368257,2
NLD,Netherlands,1980,7.88,7.3100000000000005,-0.6371579798548276,-0.351824970397473,3
NOR,Norway,1980,8.233333333333334,4.788888888888889,-0.587440016485433,-0.4835262523395847,3
NZL,New Zealand,1980,11.5,12.62,-0.12778337401367348,-0.07443386136206052,3
POL,Poland,1980,22.46,13.08,1.414411565218108,-0.05040374645503792,1
PRT,Portugal,1980,17.47,14.01,0.7122625919729809,-0.0018211228386662457,1
SVK,Slovak Republic,1980,16.5,6.86,0.5757727114022851,-0.375332691502169,1
SVN,Slovenia,1980,10.82,11.92,-0.22346700163024383,-0.1110014275249209,3
SWE,Sweden,1980,6.44,4.58,-0.8397821324546236,-0.49443847843262867,3
USA,United States,1980,10.89,7.93,-0.21361721643442036,-0.3194365546532253,3
